t,export_price_index_MoM_change
2009-04-01,-0.0023148148148148806
2009-05-01,0.0
2009-06-01,0.001160092807424462
2009-07-01,-0.002317497103128674
2009-08-01,0.0011614401858304202
2009-09-01,0.001160092807424462
2009-10-01,0.002317497103128563
2009-11-01,0.0011560693641616826
2009-12-01,0.005773672055427337
2010-01-01,0.0
2010-02-01,0.00574052812858783
2010-03-01,0.004566210045662267
2010-04-01,0.005681818181818121
2010-05-01,0.005649717514124353
2010-06-01,0.004494382022471877
2010-07-01,0.0
2010-08-01,0.0011185682326622093
2010-09-01,0.004469273743016755
2010-10-01,0.0
2010-11-01,0.0033370411568409697
2010-12-01,0.006651884700665134
2011-01-01,0.005506607929515406
2011-02-01,0.0021905805038335835
2011-03-01,0.002185792349726823
2011-04-01,0.0021810250817884125
2011-05-01,0.0
2011-06-01,0.0010881392818280489
2011-07-01,0.0021739130434783593
2011-08-01,-0.002169197396963196
2011-09-01,0.0021739130434783593
2011-10-01,0.0010845986984815426
2011-11-01,0.0021668472372697867
2011-12-01,0.00108108108108107
2012-01-01,0.004319654427645814
2012-02-01,0.003225806451612856
2012-03-01,0.0
2012-04-01,0.002143622722400984
2012-05-01,-0.0010695187165774556
2012-06-01,-0.0010706638115632883
2012-07-01,0.001071811361200492
2012-08-01,0.004282655246252487
2012-09-01,0.0
2012-10-01,0.0
2012-11-01,0.0010660980810235365
2012-12-01,-0.0031948881789138905
2013-01-01,-0.002136752136752018
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,-0.0032119914346896428
2013-05-01,-0.002148227712137407
2013-06-01,-0.0021528525296017342
2013-07-01,-0.0010787486515643208
2013-08-01,0.001079913606911509
2013-09-01,0.0021574973031284195
2013-10-01,-0.0021528525296017342
2013-11-01,0.0
2013-12-01,0.0
2014-01-01,-0.0010787486515643208
2014-02-01,0.0
2014-03-01,-0.001079913606911398
2014-04-01,-0.00108108108108107
2014-05-01,-0.0010822510822511289
2014-06-01,0.003250270855904569
2014-07-01,0.001079913606911509
2014-08-01,0.0010787486515642097
2014-09-01,0.0010775862068965747
2014-10-01,0.002152852529601512
2014-11-01,-0.002148227712137407
2014-12-01,-0.0021528525296017342
2015-01-01,0.003236245954692629
2015-02-01,0.004301075268817289
2015-03-01,0.005353319057815886
2015-04-01,0.0010649627263044081
2015-05-01,-0.0021276595744681437
2015-06-01,0.0
2015-07-01,0.0010660980810235365
2015-08-01,-0.00425985090521841
2015-09-01,-0.0032085561497325887
2015-10-01,0.0
2015-11-01,0.001072961373390413
2015-12-01,-0.004287245444801635
2016-01-01,-0.0043057050592034685
2016-02-01,-0.004324324324324391
2016-03-01,-0.0010857763300758938
2016-04-01,0.0
2016-05-01,0.0021739130434783593
2016-06-01,0.002169197396963085
2016-07-01,0.0
2016-08-01,0.0010822510822510178
2016-09-01,0.00108108108108107
2016-10-01,0.004319654427645814
2016-11-01,0.004301075268817289
2016-12-01,0.0064239828693790635
2017-01-01,0.0010638297872340718
2017-02-01,0.002125398512221155
2017-03-01,-0.0021208907741251393
2017-04-01,0.0031880977683316214
2017-05-01,-0.0031779661016950733
2017-06-01,-0.002125398512220933
2017-07-01,-0.0010649627263046302
2017-08-01,0.0
2017-09-01,0.0010660980810235365
2017-10-01,0.0021299254526090383
2017-11-01,0.0031880977683316214
2017-12-01,0.0010593220338981357
2018-01-01,0.0
2018-02-01,-0.0010582010582009804
2018-03-01,0.0
2018-04-01,0.0010593220338981357
2018-05-01,0.006349206349206327
2018-06-01,0.002103049421661396
2018-07-01,0.0010493179433368471
2018-08-01,0.0031446540880502027
2018-09-01,0.002089864158829613
2018-10-01,0.0010427528675702735
2018-11-01,-0.0010416666666666075
2018-12-01,-0.0031282586027112647
2019-01-01,-0.0010460251046024993
2019-02-01,0.0
2019-03-01,0.0020942408376962707
2019-04-01,0.0
2019-05-01,-0.0010449320794149175
2019-06-01,-0.0010460251046024993
2019-07-01,0.0020942408376962707
2019-08-01,0.0
2019-09-01,0.0010449320794148065
2019-10-01,-0.0010438413361169019
2019-11-01,0.002089864158829613
2019-12-01,0.0010427528675702735
2020-01-01,0.0
2020-02-01,-0.0010416666666666075
2020-03-01,-0.007299270072992692
2020-04-01,-0.005252100840336116
2020-05-01,-0.002111932418162654
2020-06-01,0.0010582010582009804
2020-07-01,-0.0010570824524311906
2020-08-01,0.002116402116402183
2020-09-01,0.001055966209081216
2020-10-01,0.0010548523206752591
2020-11-01,0.004214963119072657
2020-12-01,0.0031479538300105414
2021-01-01,-0.006276150627614996
2021-02-01,0.0031578947368420263
2021-03-01,0.006295907660021083
2021-04-01,0.006256517205422307
2021-05-01,0.007253886010362809
2021-06-01,0.008230452674897082
2021-07-01,0.011224489795918391
2021-08-01,0.007063572149344166
2021-09-01,0.009018036072144353
2021-10-01,0.011916583912611856
2021-11-01,0.00981354268891077
2021-12-01,0.008746355685131046
2022-01-01,0.014450867052023142
2022-02-01,0.014245014245014342
2022-03-01,0.029962546816479474
2022-04-01,0.011818181818181728
2022-05-01,0.005390835579514919
2022-06-01,0.008042895442359255
2022-07-01,0.016843971631205656
2022-08-01,0.018308631211856996
2022-09-01,-0.006849315068493178
2022-10-01,-0.014655172413793105
2022-11-01,-0.0008748906386700783
2022-12-01,0.0
2023-01-01,-0.0017513134851138146
2023-02-01,-0.0017543859649122862
2023-03-01,-0.0008787346221440506
2023-04-01,-0.005277044854881341
2023-05-01,-0.0026525198938991412
2023-06-01,-0.0008865248226950229
2023-07-01,-0.003549245785270716
2023-08-01,0.0017809439002671734
2023-09-01,0.003555555555555534
2023-10-01,0.0
2023-11-01,-0.001771479185119551
2023-12-01,-0.0008873114463177068
2024-01-01,-0.001776198934280493
2024-02-01,0.000889679715302405
2024-03-01,-0.000888888888888828
2024-04-01,0.003558718861209842
2024-05-01,0.0017730496453900457
2024-06-01,0.0026548672566371057
2024-07-01,-0.0008826125330979595
2024-08-01,0.0
2024-09-01,0.0
2024-10-01,0.0035335689045936647
2024-11-01,0.004401408450704247
2024-12-01,0.004382120946538226
2025-01-01,0.003490401396160525
2025-02-01,0.0017391304347826875
2025-03-01,-0.003472222222222321
2025-04-01,-0.0060975609756097615
2025-05-01,-0.0008764241893075564
2025-06-01,0.0
2025-07-01,-0.0017543859649122862
2025-08-01,0.0
2025-09-01,0.0008787346221441616
2025-10-01,0.0017559262510973284
2025-11-01,0.002629272567922891
2025-12-01,0.0008741258741258306
2026-01-01,0.006113537117903967
