t,retail_sales_MoM_change
1972-04-01,-0.05769230769230771
1972-05-01,0.0437317784256559
1972-06-01,-0.0013966480446926388
1972-07-01,0.009790209790209836
1972-08-01,0.04155124653739617
1972-09-01,-0.0332446808510638
1972-10-01,-0.005502063273727709
1972-11-01,-0.023513139695712337
1972-12-01,0.04674220963172826
1973-01-01,0.0013531799729362692
1973-02-01,0.020270270270270174
1973-03-01,-0.041059602649006544
1973-04-01,0.013812154696132506
1973-05-01,-0.010899182561308063
1973-06-01,0.01377410468319562
1973-07-01,-0.029891304347825942
1973-08-01,0.004201680672268893
1973-09-01,0.018131101813110062
1973-10-01,-0.016438356164383605
1973-11-01,-0.016713091922005652
1973-12-01,0.007082152974504208
1974-01-01,0.002812939521800395
1974-02-01,-0.014025245441795287
1974-03-01,0.014224751066856278
1974-04-01,0.0042075736325384305
1974-05-01,-0.0027932960893852776
1974-06-01,-0.021008403361344574
1974-07-01,0.03576537911301858
1974-08-01,-0.013812154696132617
1974-09-01,0.0014005602240896309
1974-10-01,0.00419580419580412
1974-11-01,-0.0125348189415041
1974-12-01,-0.0028208744710860323
1975-01-01,0.012729844413012614
1975-02-01,0.013966480446927276
1975-03-01,-0.004132231404958664
1975-04-01,0.016597510373443924
1975-05-01,-0.009523809523809601
1975-06-01,0.016483516483516425
1975-07-01,-0.016216216216216273
1975-08-01,0.019230769230769384
1975-09-01,0.006738544474393482
1975-10-01,0.0013386880856760541
1975-11-01,0.008021390374331583
1975-12-01,-0.011936339522546469
1976-01-01,0.016107382550335503
1976-02-01,0.013210039630118908
1976-03-01,-0.018252933507170832
1976-04-01,-0.0013280212483398612
1976-05-01,0.007978723404255206
1976-06-01,-0.00395778364116095
1976-07-01,0.0013245033112581073
1976-08-01,0.011904761904762085
1976-09-01,0.0039215686274509665
1976-10-01,-0.02083333333333326
1976-11-01,0.037234042553191404
1976-12-01,-0.002564102564102555
1977-01-01,-0.006426735218509005
1977-02-01,0.0064683053040104355
1977-03-01,0.010282776349614275
1977-04-01,-0.04452926208651398
1977-05-01,0.06924101198402144
1977-06-01,-0.016189290161892855
1977-07-01,0.024050632911392533
1977-08-01,-0.01977750309023496
1977-09-01,0.0
1977-10-01,-0.02774274905422447
1977-11-01,0.03631647211413758
1977-12-01,0.016270337922402955
1978-01-01,-0.006157635467980316
1978-02-01,-0.006195786864931829
1978-03-01,0.0012468827930174342
1978-04-01,0.01743462017434627
1978-05-01,-0.025703794369645094
1978-06-01,0.03894472361809065
1978-07-01,-0.01813784764207982
1978-08-01,-0.0024630541871921707
1978-09-01,0.029629629629629672
1978-10-01,-0.02877697841726623
1978-11-01,-0.00987654320987652
1978-12-01,0.023690773067331472
1979-01-01,-0.0036540803897685548
1979-02-01,0.0012224938875307068
1979-03-01,0.026862026862026767
1979-04-01,0.00832342449464929
1979-05-01,0.005896226415094352
1979-06-01,0.022274325908558046
1979-07-01,-0.056192660550458795
1979-08-01,0.007290400972053579
1979-09-01,-0.0024125452352231624
1979-10-01,0.0
1979-11-01,-0.009673518742442488
1979-12-01,-0.013431013431013494
1980-01-01,0.06064356435643581
1980-02-01,-0.03383897316219375
1980-03-01,-0.009661835748792202
1980-04-01,-0.013414634146341364
1980-05-01,0.008652657601977642
1980-06-01,-0.004901960784313597
1980-07-01,0.03571428571428559
1980-08-01,-0.0023781212841853527
1980-09-01,0.005959475566150285
1980-10-01,-0.0035545023696683664
1980-11-01,0.009512485136742077
1980-12-01,-0.017667844522968212
1981-01-01,0.004796163069544335
1981-02-01,0.020286396181384392
1981-03-01,-0.04795321637426897
1981-04-01,-0.004914004914004955
1981-05-01,0.013580246913580174
1981-06-01,-0.02679658952496944
1981-07-01,0.041301627033792254
1981-08-01,0.0
1981-09-01,-0.018028846153846145
1981-10-01,0.007343941248469932
1981-11-01,0.0012150668286756705
1981-12-01,-0.0024271844660194164
1982-01-01,-0.0048661800486619056
1982-02-01,-0.013447432762836109
1982-03-01,0.016109045848822667
1982-04-01,-0.028048780487804792
1982-05-01,-0.012547051442910906
1982-06-01,0.0025412960609911828
1982-07-01,-0.01520912547528519
1982-08-01,0.020592020592020477
1982-09-01,-0.034047919293821005
1982-10-01,0.030026109660574507
1982-11-01,0.0012674271229402567
1982-12-01,0.0151898734177216
1983-01-01,-0.021197007481296826
1983-02-01,0.021656050955414008
1983-03-01,0.03990024937655856
1983-04-01,-0.10191846522781778
1983-05-01,0.07476635514018692
1983-06-01,0.003726708074534235
1983-07-01,-0.030940594059405968
1983-08-01,0.005108556832694733
1983-09-01,0.019059720457433205
1983-10-01,0.0037406483790523026
1983-11-01,-0.008695652173913104
1983-12-01,0.0025062656641603454
1984-01-01,0.010000000000000009
